name,description,address,postalCode,latlng,status,companyName,domainName
Eco Dua@Tapah Branch,,"H.S.(D) 17794, Pt 5054, Plot 46, 47 & 48(Ground & 1St Floor), Off Jalan Baldwin, Bandar Tapah, 35000 Tapah, Perak.",35000,,ACTIVE,Eco Dua@Tapah Branch,ECO DUA
Eco Dua@Pekan Branch,,"44 & 45, Jalan Sultan Abdullah, 26600 Pekan, Pahang.",26600,,ACTIVE,Eco Dua@Pekan Branch,ECO DUA
Eco Dua@Subang Jaya Branch,,"Lot 525A, Persiaran Subang Permai, 47500 Subang Jaya, Selangor.",47500,,ACTIVE,Eco Dua@Subang Jaya Branch,ECO DUA
Eco Dua@Pontian Branch,,"Lot PTB 12933-12940, Pusat Perdagangan Pontian, 82000 Pontian, Johor",82000,,ACTIVE,Eco Dua@Pontian Branch,ECO DUA
Eco Dua@Banting Branch,,"2 (Grd&1st&2nd), 6 (1st Flr), 8 (1st Flr), Jalan Toman 1, Taman Seri Putra, 42700 Banting, Selangor.",42700,,ACTIVE,Eco Dua@Banting Branch,ECO DUA
Eco Dua@Muar Branch,,"No.10, 12, 14, 16, 18, 20 (Ground Floor), No.14 (1St Floor & 2Nd Floor), Jalan Perniagaan Jaya, Pusat Perniagaan Mas Jaya, Jalan Salleh, 84000 Muar, Johor.",84000,,ACTIVE,Eco Dua@Muar Branch,ECO DUA
Eco Dua@Terengganu Branch,,"1081 G (Ground, 1st, 2nd & 3rd Floor), Jln Sultan Sulaiman, Kuala Terengganu, 20000 Terengganu.",20000,,ACTIVE,Eco Dua@Terengganu Branch,ECO DUA
Eco Dua@Dungun Branch,,"Lot 10015-10017 (Grd. & 1St Floor) Pusat Perniagaan Sura Gate, 23000 Dungun, Terengganu.",23000,,ACTIVE,Eco Dua@Dungun Branch,ECO DUA
Eco Dua@Teluk Pulai Branch,,"No 43, 45, 47 & 49, Jalan Teluk Pulai, 41100 Klang Selangor.",41100,,ACTIVE,Eco Dua@Teluk Pulai Branch,ECO DUA
Eco Dua@Nusa Damai Branch,,"No. 44, 44A, 44B, 45, 45A, 45B, 46, 46A 46B, 47,47A, 47B, 48, 48A, 48B, 49, 49A, 49B, 50A, 50B & A Portion Of The Shoplot No. 50 Jalan Perdagangan Damai, Nusa Damai, 81700 Pasir Gudang, Johor.",81700,,ACTIVE,Eco Dua@Nusa Damai Branch,ECO DUA
Eco Dua@Seri Iskandar Branch,,"No 403 (Corner Lot), 404-408 (Ground Floor) & 412 (1st Floor & 2nd Floor), Persiaran Sibc 16, 32610 Bandar Seri Iskandar, Perak.",32610,,ACTIVE,Eco Dua@Seri Iskandar Branch,ECO DUA
Eco Dua@Bandar Ipoh Branch,,"270, Jalan Sultan Idris Shah, 30000 Ipoh, Perak.",30000,,ACTIVE,Eco Dua@Bandar Ipoh Branch,ECO DUA
Eco Dua@Wangsa Maju Branch,,"Lot F1-01, 6, Jalan 8/27A, Seksyen 5 Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia.",53300,,ACTIVE,Eco Dua@Wangsa Maju Branch,ECO DUA
Eco Dua@Selayang Branch,,"No. 1, Ideal Convention Centre, Jalan PS 10, Taman Prima Selayang, 68100 Batu Caves, Selangor.",68100,,ACTIVE,Eco Dua@Selayang Branch,ECO DUA
Eco Dua@Seremban Branch,,"15, Jalan Tunku Hassan, 70000 Seremban, Negeri Sembilan.",70000,,ACTIVE,Eco Dua@Seremban Branch,ECO DUA
Eco Dua@Masai Branch,,"LS 1B, U Sentral Masai PTD163160, Jalan Serangkai 1, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor.",81700,,ACTIVE,Eco Dua@Masai Branch,ECO DUA
Eco Dua@Port Dickson 2 Branch,,"Lot 12A & 13A, Tkt Bawah, Sunggala Gateway, Teluk Kemang, 71050 Port Dickson.",71050,,ACTIVE,Eco Dua@Port Dickson 2 Branch,ECO DUA
